lemma_plural,lemma_singular,classification
anglo-saxão,anglo-saxão,N+NA:ms
anglo-saxônica,anglo-saxônico,A+NA:fs
anglo-saxônicas,anglo-saxônico,A+NA:fp
anglo-saxônico,anglo-saxônico,A+NA:ms
anglo-saxônicos,anglo-saxônico,A+NA:mp
anglo-saxões,anglo-saxão,N+NA:mp
ano-de-noivos,ano-de-noivos,N+NDN:ms
ano-luz,ano-luz,N+NN:ms
anos-de-noivos,ano-de-noivos,N+NN:mp
anos-luz,ano-luz,N+NN:mp
ante-hipófise,ante-hipófise,N+XN:fs
ante-hipófises,ante-hipófise,N+XN:fp
ante-histórica,ante-histórico,A+XA:fs
ante-históricas,ante-histórico,A+XA:fp
ante-histórico,ante-histórico,A+XA:ms
ante-históricos,ante-histórico,A+XA:mp
ante-rosto,ante-rosto,N+XN:ms
ante-rostos,ante-rosto,N+XN:mp
ante-sala,ante-sala,N+XN:fs
ante-salas,ante-sala,N+XN:fp
ante-sépala,ante-sépalo,A+XN:fs
ante-sépalas,ante-sépalo,A+XN:fp
ante-sépalo,ante-sépalo,A+XN:ms
ante-sépalos,ante-sépalo,A+XN:mp
antero-posterior,antero-posterior,A+NA:ms:fs
antero-posteriores,antero-posterior,A+NA:mp
anti-herói,anti-herói,N+XN:ms
anti-heróis,anti-herói,N+XN:mp
anti-higiênica,anti-higiênico,A+XA:fs
anti-higiênicas,anti-higiênico,A+XA:fp
anti-higiênico,anti-higiênico,A+XA:ms
anti-higiênicos,anti-higiênico,A+XA:mp
anti-histamina,anti-histamina,N+XN:ms
anti-histaminas,anti-histamina,N+XN:mp
anti-histamínico,anti-histamínico,A+XA:ms
anti-histamínicos,anti-histamínico,A+XA:mp
anti-horária,anti-horário,A+XA:fs
anti-horárias,anti-horário,A+XA:fp
anti-horário,anti-horário,A+XA:ms
anti-horários,anti-horário,A+XA:mp
anti-rábica,anti-rábico,A+XA:fs
anti-rábicas,anti-rábico,A+XA:fp
anti-rábico,anti-rábico,A+XA:ms
anti-rábicos,anti-rábico,A+XA:mp
anti-secretória,anti-secretório,A+XA:fs
anti-secretórias,anti-secretório,A+XA:fp
anti-secretório,anti-secretório,A+XA:ms
anti-secretórios,anti-secretório,A+XA:mp
anti-selene,anti-selene,N+XN:ms
anti-selenes,anti-selene,N+XN:mp
anti-semita,anti-semita,A+XA:ms:fs
anti-semitas,anti-semita,A+XA:mp:fp
anti-semitismo,anti-semitismo,N+XN:ms
anti-semitismos,anti-semitismo,N+XN:mp
anti-sepsia,anti-sepsia,N+XN:fs
anti-sepsias,anti-sepsia,N+XN:fp
anti-sociais,anti-social,A+XA:mp:fp
anti-social,anti-social,A+XA:ms:fs
anti-socialmente,anti-socialmente,ADV+XADV
anti-sociáveis,anti-sociável,A+XA:mp:fp
anti-sociável,anti-sociável,A+XA:ms:fs
anti-séptica,anti-séptico,A+XA:fs
anti-sépticas,anti-séptico,A+XA:fp
anti-séptico,anti-séptico,A+XA:ms
anti-sépticos,anti-séptico,A+XA:mp
antônio-carlense,antônio-carlense,A+NA:ms:fs
antônio-carlenses,antônio-carlense,A+NA:mp:fp
antônio-diense,antônio-diense,A+NA:ms:fs
antônio-dienses,antônio-diense,A+NA:mp:fp
anúncio-sanduíche,anúncio-sanduíche,N+NN:ms
anúncios-sanduíche,anúncio-sanduíche,N+NN:mp
anúncios-sanduíches,anúncio-sanduíche,N+NN:mp
apanha-moscas,apanha-moscas,N+VN:ms:mp:fs:fp
apart-hotel,apart-hotel,N+NN:ms
ar-condicionado,ar-condicionado,N+NA:ms
ar-refrigerado,ar-refrigerado,N+NA:ms
arco-da-velha,arco-da-velha,N+NDN:ms
arco íres,arco íres,N+NN:ms:mp
arco-íris,arco-íris,N+NN:ms:mp
arcos-da-velha,arco-da-velha,N+NDN:mp
areia-branquense,areia-branquense,A+NA:ms:fs
areia-branquenses,areia-branquense,A+NA:mp:fp
ares-condicionados,ar-condicionado,N+NA:mp
ares-refrigerados,ar-refrigerado,N+NA:mp
armazém-geral,armazém-geral,N+NA:ms
armazéns-gerais,armazém-geral,N+NA:mp
arraia-miúda,arraia-miúda,N+NA:fs
arraias-miúdas,arraia-miúda,NNA:fp
arranha-céu,arranha-céu,N+VN:ms
arranha-céus,arranha-céu,N+VN:mp
arrasta-pé,arrasta-pé,N+VN:ms
arrasta-pés,arrasta-pé,N+VN:mp
arriére-pensée,arriére-pensée,N+NN:fs
arroio-grandense,arroio-grandense,A+NA:ms:fs
arroio-grandenses,arroio-grandense,A+NA:mp:fp
arroio-meense,arroio-meense,A+NA:ms:fs
arroio-meenses,arroio-meense,A+NA:mp:fp
arroz-de-festa,arroz-de-festa,N+NDN:ms
arroz-doce,arroz-doce,N+NA:ms
arrozes-de-festa,arroz-de-festa,N+NDN:mp
arte-final,arte-final,N+NA:fs
artes-finais,arte-final,N+NA:fp
assis-brasilense,assis-brasilense,A+NA:ms:fs
assis-brasilenses,assis-brasilense,A+NA:mp:fp
astolfo-dutrense,astolfo-dutrense,A+NA:ms:fs
astolfo-dutrenses,astolfo-dutrense,A+NA:mp:fp
au-au,au-au,N+NN:ms
augusto-severense,augusto-severense,A+NA:ms:fs
augusto-severenses,augusto-severense,A+NA:mp:fp
austro-húngaro,austro-húngaro,A+NA:ms
austro-húngaros,austro-húngaro,A+NA:mp
auto-acusação,auto-acusação,N+XN:fs
auto-acusações,auto-acusação,N+XN:fp
auto-adesiva,auto-adesivo,A+XA:fs
auto-adesivas,auto-adesivo,A+XA:fp
auto-adesivo,auto-adesivo,A+XA:ms
auto-adesivos,auto-adesivo,A+XA:mp
auto-admiração,auto-admiração,N+XN:fs
auto-admirações,auto-admiração,N+XN:fp
auto-afirmação,auto-afirmação,N+XN:fs
auto-afirmações,auto-afirmação,N+XN:fp
auto-agressão,auto-agressão,N+XN:fs
auto-agressões,auto-agressão,N+XN:fp
auto-análise,auto-análise,N+XN:fs
auto-análises,auto-análise,N+XN:fp
auto-aspirante,auto-aspirante,A+XA:ms:fs
auto-aspirantes,auto-aspirante,A+XA:mp:fp
auto-atendimento,auto-atendimento,N+XN:ms
auto-atendimentos,auto atendimento,N+XN:mp
auto-de-fé,auto-de-fé,N+XDN:ms
auto-ecologia,auto-ecologia,N+XN:fs
auto-ecologias,auto-ecologia,N+XN:fp
auto-ecológica,auto-ecológico,A+XA:fs
auto-ecológicas,auto-ecológico,A+XA:fp
auto-ecológico,auto-ecológico,A+XA:ms
auto-ecológicos,auto-ecológico,A+XA:mp
auto-elogio,auto-elogio,N+XN:ms
auto-elogios,auto-elogio,N+XN:mp
auto-erotismo,auto-erotismo,N+XN:ms
auto-erotismos,auto-erotismo,N+XN:mp
auto-escola,auto-escola,N+XN:fs
auto-escolas,auto-escola,N+XN:fp
auto-escorvante,auto-escorvante,A+XA:ms:fs
auto-escorvantes,auto-escorvante,A+XA:mp:fp
auto-esterilidade,auto-esterilidade,N+XN:fs
auto-esterilidades,auto-esterilidade,N+XN:fp
auto-estrada,auto-estrada,N+XN:fs
auto-estradas,auto-estrada,N+XN:fp
auto-estéreis,auto-estéril,A+XA:mp:fp
