lemma_plural,lemma_singular,classification
blank verse,blank verse,N+NN:ms
boa-esperancense,boa-esperancense,A+NA:ms:fs
boa-esperancenses,boa-esperancense,A+NA:mp:fp
boa-fé,boa-fé,N+AN:fs
boa-noite,boa-noite,N+AN:ms
boa-novense,boa-novense,A+NA:ms:fs
boa-novenses,boa-novense,A+NA:mp:fp
boa-pinta,boa-pinta,A+AN:ms:fs
boa-praça,boa-praça,A+AN:ms:fs
boa-tarde,boa-tarde,N+AN:fs
boa-venturança,boa-venturança,N+AN:fs
boa-viagense,boa-viagense,A+NA:ms:fs
boa-viagenses,boa-viagense,A+NA:mp:fp
boa-vida,boa-vida,N+AN:ms:fs
boa-vistense,boa-vistense,A+NA:ms:fs
boa-vistenses,boa-vistense,A+NA:mp:fp
boas-festas,boas-festas,N+AN:fp
boas-fés,boa-fé,N+AN:fp
boas-noites,boa-noite,N+AN:mp
boas-pintas,boa-pinta,A+AN:mp:fp
boas-praças,boa-praça,A+AN:mp:fp
boas-tardes,boa-tarde,N+AN:fp
boas-venturanças,boa-venturança,N+AN:fp
boas-vidas,boa-vida,N+AN:mp:fp
boas-vindas,boas-vindas,N+AN:fp
boca-aberta,boca-aberta,N+NA:ms:fs
boca-de-fumo,boca-de-fumo,N+NDN:fs
boca-de-sino,boca-de-sino,N+NDN:fs
boca-de-siri,boca-de-siri,N+NDN:fs
boca de urna,boca de urna,N+NDN:fs
boca-do-lixo,boca-do-lixo,N+NDN:fs
boca-livre,boca-livre,N+NN:ms:fs
bocas-abertas,boca-aberta,N+NN:mp:fp
bocas-de-fumo,boca-de-fumo,N+NDN:fp
bocas-de-sino,boca-de-sino,N+NDN:fp
bocas-de-siri,boca-de-siri,N+NDN:fp
bocas de urna,boca de urna,N+NDN:fp
bocas-do-lixo,boca-do-lixo,N+NDN:fp
bocas-livres,boca-livre,N+NN:mp:fp
bode-preto,bode-preto,N+NA:ms
bodes-pretos,bode-preto,N+NA:mp
boi-barroso,boi-barroso,N+NN:ms
boi-bumbá,boi-bumbá,N+NN:ms
boi-na-vara,boi-na-vara,N+NPN:ms
boina-verde,boina-verde,N+NA:ms
boinas-verdes,boina-verde,N+NA:mp
bois-barrosos,boi-barroso,N+NN:mp
bois-bumbá,boi-bumbá,N+NN:mp
bois-bumbás,boi-bumbá,N+NN:mp
bois-na-vara,boi-na-vara,N+NPN:mp
bola-ao-alto,bola-ao-alto,N+NPN:fs
bola-ao-cesto,bola-ao-cesto,N+NPN:fs
bola-de-neve,bola-de-neve,N+NDN:fs
bola-presa,bola-presa,N+NA:fs
bolas-ao-alto,bola-ao-alto,N+NPN:fp
bolas-ao-cesto,bola-ao-cesto,N+NPN:fp
bolas-de-neve,bola-de-neve,N+NDN:fp
bolas-presas,bola-presa,N+NA:fp
bole-bole,bole-bole,N+NN:fs
bole-boles,bole-bole,N+NN:fp
boles-boles,bole-bole,N+NN:fp
bom-bocado,bom-bocado,N+AN:ms
bom-conselhense,bom-conselhense,A+NA:ms:fs
bom-conselhenses,bom-conselhense,A+NA:mp:fp
bom-despachense,bom-despachense,A+NA:ms:fs
bom-despachenses,bom-despachense,A+NA:mp:fp
bom-dia,bom-dia,N+AN:ms
bom gosto,bom gosto,N+AN:ms
bom-jardinense,bom-jardinense,A+NA:ms:fs
bom-jardinenses,bom-jardinense,A+NA:mp:fp
bom-jesuense,bom-jesuense,A+NA:ms:fs
bom-jesuenses,bom-jesuense,A+NA:mp:fp
bom-moço,bom-moço,N+AN:ms
bom-repousense,bom-repousense,A+NA:ms:fs
bom-repousenses,bom-repousense,A+NA:mp:fp
bom-sucessense,bom-sucessense,A+NA:ms:fs
bom-sucessenses,bom-sucessense,A+NA:mp:fp
bom-tom,bom-tom,N+AN:ms
bomba-relógio,bomba-relógio,N+NN:fs
bombas-relógio,bomba-relógio,N+NN:fp
bombas-relógios,bomba-relógio,N+NN:fp
bons-bocados,bom-bocado,N+AN:mp
bons-dias,bom-dia,N+AN:mp
bons gostos,bom gosto,N+AN:mp
bons-moços,bom-moço,N+AN:mp
bons-tons,bom-tom,N+AN:mp
borda-do-campo,borda-do-campo,N+NDN:fs
borda-matense,borda-matense,A+NA:ms:fs
borda-matenses,borda-matense,A+NA:mp:fp
bordas-do-campo,borda-do-campo,N+NDN:fp
borra-botas,borra-botas,N+VN:ms:mp:fs:fp
bossa-nova,bossa-nova,A+NA:ms:mp:fs:fp
bota-fora,bota-fora,N+VADV:ms
bota-foras,bota-fora,N+VADV:mp
brasilo-argentina,brasilo-argentino,A+NA:fs
brasilo-argentinas,brasilo-argentino,A+NA:fp
brasilo-argentino,brasilo-argentino,A+NA:ms
brasilo-argentinos,brasilo-argentino,A+NA:mp
brasilo-chilena,brasilo-chileno,A+NA:fs
brasilo-chilenas,brasilo-chileno,A+NA:fp
brasilo-chileno,brasilo-chileno,A+NA:ms
brasilo-chilenos,brasilo-chileno,A+NA:mp
brasilo-paraguaia,brasilo-paraguaio,A+NA:fs
brasilo-paraguaias,brasilo-paraguaio,A+NA:fp
brasilo-paraguaio,brasilo-paraguaio,A+NA:ms
brasilo-paraguaios,brasilo-paraguaio,A+NA:mp
brasilo-uruguaia,brasilo-uruguaio,A+NA:fs
brasilo-uruguaias,brasilo-uruguaio,A+NA:fp
brasilo-uruguaio,brasilo-uruguaio,A+NA:ms
brasilo-uruguaios,brasilo-uruguaio,A+NA:mp
braço-de-ferro,braço-de-ferro,N+NDN:ms
braços-de-ferro,braço-de-ferro,N+NDN:mp
brejo-cruzense,brejo-cruzense,A+NA:ms:fs
brejo-cruzenses,brejo-cruzense,A+NA:mp:fp
brejo-grandense,brejo-grandense,A+NA:ms:fs
brejo-grandenses,brejo-grandense,A+NA:mp:fp
brejo-santense,brejo-santense,A+NA:ms:fs
brejo-santenses,brejo-santense,A+NA:mp:fp
brise-bise,brise-bise,N+NN:ms
brise-soleil,brise-soleil,N+NN:ms
brás-pirense,brás-pirense,A+NA:ms:fs
brás-pirenses,brás-pirense,A+NA:mp:fp
bueno-brandense,bueno-brandense,A+NA:ms:fs
bueno-brandenses,bueno-brandense,A+NA:mp:fp
bumba-meu-boi,bumba-meu-boi,N+NPRON:ms
bumbas-meu-boi,bumba-meu-boi,N+NPRON:mp
bunda-mole,bunda-mole,N+NA:ms:fs
bundas-moles,bunda-mole,N+NA:mp:fp
buriti-alegrense,buriti-alegrense,A+NA:ms:fs
buriti-alegrenses,buriti-alegrense,A+NA:mp:fp
buriti-bravense,buriti-bravense,A+NA:ms:fs
buriti-bravenses,buriti-bravense,A+NA:mp:fp
buriti-lopense,buriti-lopense,A+NA:ms:fs
buriti-lopenses,buriti-lopense,A+NA:mp:fp
busca-pé,busca-pé,N+VN:ms
busca-pés,busca-pé,N+VN:mp
bush-negroes,bush-negroes,N+NN:mp
by-pass,by-pass,N+PN:ms
bê-á-bá,bê-á-bá,N+NNN:ms
bê-á-bás,bê-á-bá,N+NNN:mp
bóia-fria,bóia-fria,N+NA:ms:fs
bóias-frias,bóia-fria,N+NA:mp:fp
cabeça-chata,cabeça-chata,N+NA:ms:fs
cabeça-de-chave,cabeça-de-chave,N+NDN:ms:fs
cabeça-de-coco,cabeça-de-coco,N+NDN:ms:fs
cabeça-de-fogo,cabeça-de-fogo,N+NDN:ms:mp:fs:fp
cabeça-de-vento,cabeça-de-vento,N+NDN:ms:fs
cabeça-de-área,cabeça-de-área,N+NDN:ms
cabeça-dura,cabeça-dura,N+NA:ms:fs
cabeças-chatas,cabeça-chata,N+NA:mp:fp
cabeças-de-chave,cabeça-de-chave,N+NDN:mp:fp
cabeças-de-coco,cabeça-de-coco,N+NDN:mp:fp
cabeças-de-vento,cabeça-de-vento,N+NDN:mp:fp
cabeças-de-área,cabeça-de-área,N+NDN:mp
cabeças-duras,cabeça-dura,N+NA:mp:fp
cabo-de-guerra,cabo-de-guerra,N+NDN:ms
cabo-friense,cabo-friense,A+NA:ms:fs
cabo-frienses,cabo-friense,A+NA:mp:fp
cabo-verdense,cabo-verdense,A+NA:ms:fs
cabo-verdenses,cabo-verdense,A+NA:mp:fp
cabos-de-guerra,cabo-de-guerra,N+NDN:mp
cabra-cega,cabra-cega,N+NA:fs
cabra-macho,cabra-macho,N+NA:ms
cabras-cegas,cabra-cega,N+NA:fp
cabras-machos,cabra-macho,N+NA:mp
cache-sexe,cache-sexe,N+NN:ms
cachoeira-altense,cachoeira-altense,A+NA:ms:fs
cachoeira-altenses,cachoeira-altense,A+NA:mp:fp
cachorro-do-mato,cachorro-do-mato,N+NDN:ms
cachorro-quente,cachorro-quente,N+NA:ms
cachorros-do-mato,cachorro-do-mato,N+NDN:mp
cachorros-quentes,cachorro-quente,N+NA:mp
cafundó-do-judas,cafundó-do-judas,N+NDN:ms
cafundós-do-judas,cafundó-do-judas,N+NDN:mp
café-com-leite,café-com-leite,A+NPA:ms:mp:fs:fp
caga-fogo,caga-fogo,N+VN:ms
caga-fogos,caga-fogo,N+VN:mp
caga-lume,caga-lume,N+VN:ms
caga-lumes,caga-lume,N+VN:mp
caixa-alta,caixa-alta,N+NA:fs
caixa-altas,caixa-alta,N+NA:fp
caixa-baixa,caixa-baixa,N+NA:fs
caixa-bomba,caixa-bomba,N+NN:fs
caixa-de-catarro,caixa-de-catarro,N+NDN:fs
caixa-de-fósforos,caixa-de-fósforos,N+NDN:ms
caixa-de-rua,caixa-de-rua,N+NDN:fs
caixa-de-óculos,caixa-de-óculos,N+NDN:ms:fs
caixa-forte,caixa-forte,N+NA:fs
caixa-preta,caixa-preta,N+NA:fs
caixa surpresa,caixa surpresa,N+NA:fs
caixas-baixas,caixa-baixa,N+NA:fp
caixas-bombas,caixa-bomba,N+NN:fp
caixas-de-catarro,caixa-de-catarro,N+NDN:fp
caixas-de-fósforos,caixa-de-fósforos,N+NDN:mp
caixas-de-rua,caixa-de-rua,N+NDN:fp
caixas-de-óculos,caixa-de-óculos,N+NDN:mp:fp
caixas-fortes,caixa-forte,N+NA:fp
caixas-pretas,caixa-preta,N+NA:fp
caixas-surpresas,caixa-surpresa,N+NA:fp
caixeiro-viajante,caixeiro-viajante,N+NA:ms
caixeiros-viajantes,caixeiro-viajante,N+NA:mp
calcanhar-de-aquiles,calcanhar-de-aquiles,N+NDN:ms
calcanhares-de-aquiles,calcanhar-de-aquiles,N+NDN:mp
calda-novense,calda-novense,A+NA:ms:fs
calda-novenses,calda-novense,A+NA:mp:fp
calça-curta,calça-curta,N+NA:ms
calças-curtas,calça-curta,N+NA:mp
cama-de-burro,cama-de-burro,N+NDN:fs
cama-de-gato,cama-de-gato,N+NDN:fs
cama-de-vento,cama-de-vento,N+NDN:fs
camas-de-burro,cama-de-burro,N+NDN:fp
camas-de-gato,cama-de-gato,N+NDN:fp
camas-de-vento,cama-de-vento,N+NDN:fp
caminho-de-mesa,caminho-de-mesa,N+NDN:ms
caminhos-de-mesa,caminho-de-mesa,N+NDN:mp
camisa-de-força,camisa-de-força,N+NDN:fs
camisa-de-vênus,camisa-de-vênus,N+NDN:fs
camisa-verde,camisa-verde,N+NA:ms:fs
camisas-de-força,camisa-de-força,N+NDN:fp
camisas-de-vênus,camisa-de-vênus,N+NDN:fp
camisas-verdes,camisa-verde,N+NA:mp:fp
campina-verdense,campina-verdense,A+NA:ms:fs
campina-verdenses,campina-verdense,A+NA:mp:fp
campo-alegrense,campo-alegrense,A+NA:ms:fs
campo-alegrenses,campo-alegrense,A+NA:mp:fp
campo-belense,campo-belense,A+NA:ms:fs
campo-belenses,campo-belense,A+NA:mp:fp
campo-britense,campo-britense,A+NA:ms:fs
campo-britenses,campo-britense,A+NA:mp:fp
campo-floridense,campo-floridense,A+NA:ms:fs
campo-floridenses,campo-floridense,A+NA:mp:fp
campo-formosense,campo-formosense,A+NA:ms:fs
campo-formosenses,campo-formosense,A+NA:mp:fp
campo-grandense,campo-grandense,A+NA:ms:fs
campo-grandenses,campo-grandense,A+NA:mp:fp
campo-larguense,campo-larguense,A+NA:ms:fs
campo-larguenses,campo-larguense,A+NA:mp:fp
campo-maiorense,campo-maiorense,A+NA:ms:fs
campo-maiorenses,campo-maiorense,A+NA:mp:fp
campo-meense,campo-meense,A+NA:ms:fs
campo-meenses,campo-meense,A+NA:mp:fp
campo-mourense,campo-mourense,A+NA:ms:fs
campo-mourenses,campo-mourense,A+NA:mp:fp
campo-santo,campo-santo,N+NA:ms
campos-altense,campos-altense,A+NA:ms:fs
campos-altenses,campos-altense,A+NA:mp:fp
campos-geraiense,campos-geraiense,A+NA:ms:fs
campos-geraienses,campos-geraiense,A+NA:mp:fp
campos-novense,campos-novense,A+NA:ms:fs
campos-novenses,campos-novense,A+NA:mp:fp
campos-santos,campo-santo,N+NA:mp
cana-da-índia,cana-da-índia,N+NDN:fs
cana-de-açúcar,cana-de-açúcar,N+NDN:fs
cana-reinense,cana-reinense,A+NA:ms:fs
cana-reinenses,cana-reinense,A+NA:mp:fp
canas-de-açúcar,cana-de-açúcar,N+NDN:fp
caneta-tinteiro,caneta-tinteiro,N+NN:fs
canetas-tinteiro,caneta-tinteiro,N+NN:fp
canetas-tinteiros,caneta-tinteiro,N+NN:fp
canto-buritiense,canto-buritiense,A+NA:ms:fs
canto-buritienses,canto-buritiense,A+NA:mp:fp
canário-baeta,canário-baeta,N+NN:ms
canário-da-horta,canário-da-horta,N+NDN:ms
canário-da-terra,canário-da-terra,N+NDN:ms
canário-do-brejo,canário-do-brejo,N+NDN:ms
canário-do-campo,canário-do-campo,N+NDN:ms
canário-do-ceará,canário-do-ceará,N+NDN:ms
canário-do-mato,canário-do-mato,N+NDN:ms
canário-do-reino,canário-do-reino,N+NDN:ms
canário-do-sapé,canário-do-sapé,N+NDN:ms
canário-pardinho,canário-pardinho,N+NA:ms
canário-pardo,canário-pardo,N+NA:ms
canários-baeta,canário-baeta,N+NN:mp
canários-baetas,canário-baeta,N+NN:mp
canários-da-horta,canário-da-horta,N+NDN:mp
canários-da-terra,canário-da-terra,N+NDN:mp
canários-do-brejo,canário-do-brejo,N+NDN:mp
canários-do-campo,canário-do-campo,N+NDN:mp
canários-do-ceará,canário-do-ceará,N+NDN:mp
canários-do-mato,canário-do-mato,N+NDN:mp
canários-do-reino,canário-do-reino,N+NDN:mp
canários-do-sapé,canário-do-sapé,N+NDN:mp
canários-pardinhos,canário-pardinho,N+NA:mp
canários-pardos,canário-pardo,N+NA:mp
capela-novense,capela-novense,A+NA:ms:fs
capela-novenses,capela-novense,A+NA:mp:fp
capim-branquense,capim-branquense,A+NA:ms:fs
capim-branquenses,capim-branquense,A+NA:mp:fp
capim-gordura,capim-gordura,N+NN:ms
capim-jaraguá,capim-jaraguá,N+NN:ms
capins-gorduras,capim-gordura,N+NN:mp
capins-jaraguá,capim-jaraguá,N+NN:mp
capins-jaraguás,capim-jaraguá,N+NN:mp
capitães-do-mato,capitão-do-mato,N+NDN:mp
capitães-mores,capitão-mor,N+NA:mp
capitão-do-mato,capitão-do-mato,N+NDN:ms
capitão-mor,capitão-mor,N+NA:ms
capão-bonitense,capão-bonitense,A+NA:ms:fs
capão-bonitenses,capão-bonitense,A+NA:mp:fp
cara-chupada,cara-chupada,N+NA:ms:fs
cara-de-pau,cara-de-pau,N+NDN:ms
cara-metade,cara-metade,N+NN:fs
caras-chupadas,cara-chupada,N+NA:mp:fp
caras-de-pau,cara-de-pau,N+NDN:mp
caras-metades,cara-metade,N+NN:fp
cardoso-moreirense,cardoso-moreirense,A+NA:ms:fs
cardoso-moreirenses,cardoso-moreirense,A+NA:mp:fp
carlos-chaguense,carlos-chaguense,A+NA:ms:fs
carlos-chaguenses,carlos-chaguense,A+NA:mp:fp
carne-de-sol,carne-de-sol,N+NDN:fs
carne-seca,carne-seca,N+NA:fs
carnes-de-sol,carne-de-sol,N+NDN:fp
carnes-secas,carne-seca,N+NA:fp
carro-bomba,carro-bomba,N+NN:ms
carro-chefe,carro-chefe,N+NN:ms
carro-forte,carro-forte,N+NA:ms
carro-pipa,carro-pipa,N+NN:ms
carros-bomba,carro-bomba,N+NN:mp
carros-bombas,carro-bomba,N+NN:mp
carros-chefes,carro-chefe,N+NN:mp
carros-fortes,carro-forte,N+NA:mp
carros-pipa,carro-pipa,N+NN:mp
carros-pipas,carro-pipa,N+NN:mp
carta-bomba,carta-bomba,N+NN:fs
carta-piloto,carta-piloto,N+NN:fs
cartas-bomba,carta-bomba,N+NN:fp
cartas-bombas,carta-bomba,N+NN:fp
cartas-piloto,carta-piloto,N+NN:fp
cartas-pilotos,carta-piloto,N+NN:fp
cartão-postal,cartão-postal,N+NA:ms
cartões-postais,cartão-postal,N+NA:mp
casa-branquense,casa-branquense,A+NA:ms:fs
casa-branquenses,casa-branquense,A+NA:mp:fp
casa-forte,casa-forte,N+NA:fs
casa-grande,casa-grande,N+NA:fs
casa-novense,casa-novense,A+NA:ms:fs
casa-novenses,casa-novense,A+NA:mp:fp
casas-fortes,casa-forte,N+NA:fp
casas-grandes,casa-grande,N+NA:fp
casca-grossa,casca-grossa,A+NA:ms:fs
cascas-grossas,casca-grossa,A+NA:mp:fp
castanha-do-pará,castanha-do-pará,N+NDN:fs
castanhas-do-pará,castanha-do-pará,N+NDN:fp
castro-alvense,castro-alvense,A+NA:ms:fs
castro-alvenses,castro-alvense,A+NA:mp:fp
cata-vento,cata-vento,N+VN:ms
cata-ventos,cata-vento,N+VN:mp
cavalo-de-pau,cavalo-de-pau,N+NDN:ms
cavalos-de-pau,cavalo-de-pau,N+NDN:mp
caça-dotes,caça-dotes,N+VN:ms:mp
caça-níqueis,caça-níquel,N+VN:mp
caça-níquel,caça-níquel,N+VN:ms
caça-submarina,caça-submarina,N+NN:fs
caça-submarinas,caça-submarina,N+NN:fp
caça-submarino,caça-submarino,N+VN:ms
caça-submarinos,caça-submarino,N+VN:mp
cd-rom,cd-rom,X+XN
ceará-mirinense,ceará-mirinense,A+NA:ms:fs
ceará-mirinenses,ceará-mirinense,A+NA:mp:fp
ceará-mirinhense,ceará-mirinhense,A+NA:ms:fs
ceará-mirinhenses,ceará-mirinhense,A+NA:mp:fp
center-forward,center-forward,N+NN:ms
center-half,center-half,N+NN:ms
centro-oeste,centro-oeste,N+NN:ms
cereja-das-antilhas,cereja-das-antilhas,N+NDN:fs
cerejas-das-antilhas,cereja-das-antilhas,N+NDN:fp
cerra-fila,cerra-fila,N+VN:ms
cerra-filas,cerra-fila,N+VN:mp
cerro-azulense,cerro-azulense,A+NA:ms:fs
cerro-azulenses,cerro-azulense,A+NA:mp:fp
cerro-coraense,cerro-coraense,A+NA:ms:fs
cerro-coraenses,cerro-coraense,A+NA:mp:fp
cerro-larguense,cerro-larguense,A+NA:ms:fs
cerro-larguenses,cerro-larguense,A+NA:mp:fp
cessar-fogo,cessar-fogo,N+VN:ms:mp
chaise longue,chaise longue,N+NA:fs
chapéu-armado,chapéu-armado,N+NA:ms
chapéu-chile,chapéu-chile,N+NN:ms
chapéu-coco,chapéu-coco,N+NN:ms
chapéu-de-bispo,chapéu-de-bispo,N+NDN:ms
chapéu-de-chuva,chapéu-de-chuva,N+NDN:ms
chapéu-de-coco,chapéu-de-coco,N+NDN:ms
chapéu-de-couro,chapéu-de-couro,N+NDN:ms
chapéu-de-frade,chapéu-de-frade,N+NDN:ms
chapéu-de-sol,chapéu-de-sol,N+NDN:ms
chapéu-panamá,chapéu-panamá,N+NN:ms
chapéus-armados,chapéu-armado,N+NA:mp
chapéus-chile,chapéu-chile,N+NN:mp
chapéus-chiles,chapéu-chile,N+NN:mp
chapéus-coco,chapéu-coco,N+NN:mp
chapéus-cocos,chapéu-coco,N+NN:mp
chapéus-de-bispo,chapéu-de-bispo,N+NDN:mp
chapéus-de-chuva,chapéu-de-chuva,N+NDN:mp
chapéus-de-coco,chapéu-de-coco,N+NDN:mp
chapéus-de-couro,chapéu-de-couro,N+NDN:mp
chapéus-de-frade,chapéu-de-frade,N+NDN:mp
chapéus-de-sol,chapéu-de-sol,N+NDN:mp
chapéus-panamá,chapéu-panamá,N+NN:mp
chapéus-panamás,chapéu-panamá,N+NN:mp
check-up,check-up,N+NP:ms
cheiro-verde,cheiro-verde,N+NA:ms
cheiros-verdes,cheiro-verde,N+NA:mp
chove-não-molha,chove-não-molha,N+VADVV:ms:mp
chroma-key,chroma-key,N+NN:fs
chá-da-índia,chá-da-índia,N+NDN:ms
chá-mate,chá-mate,N+NN:ms
chás-da-índia,chá-da-índia,N+NDN:mp
chás-mate,chá-mate,N+NN:mp
chás-mates,chá-mate,N+NN:mp
cidade-estado,cidade-estado,N+NN:fs
cidade-satélite,cidade-satélite,N+NN:fs
cidades-estados,cidade-estado,N+NN:fp
cidades-satélites,cidade-satélite,N+NN:fp
cinta-liga,cinta-liga,N+NN:fs
cintas-ligas,cinta-liga,N+NN:fp
cirurgiães-dentistas,cirurgião-dentista,N+NN:mp
cirurgião-dentista,cirurgião-dentista,N+NN:ms
cirurgiões-dentistas,cirurgião-dentista,N+NN:mp
claro-escuro,claro-escuro,N+NA:ms
claro-escuros,claro-escuro,N+NA:mp
claros-escuros,claro-escuro,N+NA:mp
close-up,close-up,N+NP:ms
co-autor,co-autor,N+XN:ms
co-autora,co-autor,N+XN:fs
co-autoras,co-autor,N+XN:fp
co-autores,co-autor,N+XN:mp
co-autoria,co-autoria,N+XN:fs
co-autorias,co-autoria,N+XN:fp
co-avalista,co-avalista,N+XA:ms:fs
co-avalistas,co-avalista,N+XA:mp:fp
co-delinqüência,co-delinqüência,N+XN:fs
co-delinqüências,co-delinqüência,N+XN:fp
co-devedor,co-devedor,A+XA:ms
co-devedora,co-devedor,A+XA:fs
co-devedoras,co-devedor,A+XA:fp
co-devedores,co-devedor,A+XA:mp
co-editor,co-editor,N+XN:ms
co-editora,co-editor,N+XN:fs
co-editoras,co-editor,N+XN:fp
co-editores,co-editor,N+XN:mp
co-editáveis,co-editável,A+XA:mp:fp
co-editável,co-editável,A+XA:ms:fs
co-edição,co-edição,N+XN:fs
co-edições,co-edição,N+XN:fp
co-educação,co-educação,N+XN:fs
co-educações,co-educação,N+XN:fp
co-fiador,co-fiador,N+XN:ms
co-fiadora,co-fiador,N+XN:fs
co-fiadoras,co-fiador,N+XN:fp
co-fiadores,co-fiador,N+XN:mp
co-herdeira,co-herdeiro,N+XN:fs
co-herdeiras,co-herdeiro,N+XN:fp
co-herdeiro,co-herdeiro,N+XN:ms
co-herdeiros,co-herdeiro,N+XN:mp
co-interessada,co-interessado,A+XA:fs
co-interessadas,co-interessado,A+XA:fp
co-interessado,co-interessado,A+XA:ms
co-interessados,co-interessado,A+XA:mp
co-participação,co-participação,N+XN:fs
co-participações,co-participação,N+XN:fp
co-piloto,co-piloto,N+XN:ms
co-pilotos,co-piloto,N+XN:mp
co-processador,co-processador,N+XN:ms
co-processadores,co-processador,N+XN:mp
co-procurador,co-procurador,N+XN:ms
co-procuradores,co-procurador,N+XN:mp
co-produto,co-produto,N+XN:ms
co-produtor,co-produtor,N+XN:ms
co-produtores,co-produtor,N+XN:mp
co-produtos,co-produto,N+XN:mp
co-produção,co-produção,N+XN:fs
co-produções,co-produção,N+XN:fp
co-propriedade,co-propriedade,N+XN:fs
co-propriedades,co-propriedade,N+XN:fp
co-proprietário,co-proprietário,N+XN:ms
co-proprietários,co-proprietário,N+XN:mp
co-redator,co-redator,N+XN:ms
co-redatores,co-redator,N+XN:mp
co-responsabilidade,co-responsabilidade,N+XN:fs
co-responsabilidades,co-responsabilidade,N+XN:fp
co-responsáveis,co-responsável,A+XA:mp:fp
co-responsável,co-responsável,A+XA:ms:fs
co-ré,co-ré,N+XN:fs
co-rés,co-ré,N+XN:fp
co-réu,co-réu,N+XN:ms
co-réus,co-réu,N+XN:mp
co-seno,co-seno,N+XN:ms
co-senos,co-seno,N+XN:mp
co-tangente,co-tangente,N+XN:fs
co-tangentes,co-tangente,N+XN:fp
cobra-cega,cobra-cega,N+NA:fs
cobra-coral,cobra-coral,N+NN:fs
cobras-cegas,cobra-cega,N+NA:fp
cobras-corais,cobra-coral,N+NN:fp
cobras-coral,cobra-coral,N+NN:fp
coca cola,coca cola,N+NN:fs
cocada-puxa,cocada-puxa,N+NA:fs
cocadas-puxa,cocada-puxa,N+NA:fp
cocas colas,coca cola,N+NN:fp
coelho-netense,coelho-netense,A+NA:ms:fs
coelho-netenses,coelho-netense,A+NA:mp:fp
coelho-rochense,coelho-rochense,A+NA:ms:fs
coelho-rochenses,coelho-rochense,A+NA:mp:fp
coisa-ruim,coisa-ruim,N+NA:ms
coisa-à-toa,coisa-à-toa,N+NPN:ms:fs
coisas-ruins,coisa-ruim,N+NA:mp
coisas-à-toa,coisa-à-toa,N+NPN:mp:fp
colarinho-branco,colarinho-branco,N+NA:ms
colarinhos-brancos,colarinho-branco,N+NA:mp
comandante-chefe,comandante-chefe,N+NN:ms
comandante-em-chefe,comandante-em-chefe,N+NPN:ms
comandantes-chefes,comandante-chefe,N+NN:mp
comandantes-em-chefe,comandante-em-chefe,N+NPN:mp
come-e-dorme,come-e-dorme,N+VCONJV:ms:mp
come-quieto,come-quieto,N+VA:ms:mp
comigo-ninguém-pode,comigo-ninguém-pode,N+PPROV:ms:mp
comum-de-dois,comum-de-dois,A+ADDET:ms:fs
comuns-de-dois,comum-de-dois,A+ADDET:mp:fp
conselheiro-penense,conselheiro-penense,A+NA:ms:fs
conselheiro-penenses,conselheiro-penense,A+NA:mp:fp
conta-giros,conta-giros,N+VN:ms:mp
conta-gotas,conta-gotas,N+VN:ms:mp
conto-do-vigário,conto-do-vigário,N+NDN:ms
contos-do-vigário,conto-do-vigário,N+NDN:mp
contra-almirante,contra-almirante,N+XN:ms
contra-almirantes,contra-almirante,N+XN:mp
contra-argumento,contra-argumento,N+XN:ms
contra-argumentos,contra-argumento,N+XN:mp
contra-atacante,contra-atacante,N+XN:ms:fs
contra-atacantes,contra-atacante,N+XN:mp:fp
contra-ataque,contra-ataque,N+XN:ms
contra-ataques,contra-ataque,N+XN:mp
contra-erva-do-peru,contra-erva-do-peru,N+XNDN:fs
contra-ervas-do-peru,contra-erva-do-peru,N+XNDN:fp
contra-escritura,contra-escritura,N+XN:fs
contra-escrituras,contra-escritura,N+XN:fp
contra-exemplo,contra-exemplo,N+XN:ms
contra-exemplos,contra-exemplo,N+XN:mp
contra-indicação,contra-indicação,N+XN:fs
contra-indicações,contra-indicação,N+XN:fp
contra-ofensiva,contra-ofensiva,N+XN:fs
contra-ofensivas,contra-ofensiva,N+XN:fp
contra-oferta,contra-oferta,N+XN:fs
contra-ofertas,contra-oferta,N+XN:fp
contra-ordem,contra-ordem,N+XN:fs
contra-ordens,contra-ordem,N+XN:fp
contra-regra,contra-regra,N+XN:ms:fs
contra-regras,contra-regra,N+XN:mp:fp
contra-revolucionário,contra-revolucionário,A+XA:ms
contra-revolucionários,contra-revolucionário,A+XA:mp
contra-senso,contra-senso,N+XN:ms
contra-sensos,contra-senso,N+XN:mp
conversa-fiada,conversa-fiada,N+NA:ms:fs
conversas-fiadas,conversa-fiada,N+NA:mp:fp
copa-cozinha,copa-cozinha,N+NN:fs
copas-cozinhas,copa-cozinha,N+NN:fp
copo-de-leite,copo-de-leite,N+NDN:ms
copos-de-leite,copo-de-leite,N+NDN:mp
cor-de-rosa,cor-de-rosa,A+NDN:ms:mp:fs:fp
cordon-bleu,cordon-bleu,N+NN:ms
coroa-grandense,coroa-grandense,A+NA:ms:fs
coroa-grandenses,coroa-grandense,A+NA:mp:fp
coronel-macedense,coronel-macedense,A+NA:ms:fs
coronel-macedense,coronel-macedense,N+NA:ms:fs
coronel-macedenses,coronel-macedense,A+NA:mp:fp
coronel-macedenses,coronel-macedense,N+NA:mp:fp
coronel-murtense,coronel-murtense,A+NA:ms:fs
coronel-murtense,coronel-murtense,N+NA:ms:fs
