canonical_form,graph_id
acusável,A308
acutifloro,A201
acutifoliado,A201
acutifólio,A201
acutilobado,A201
acutilobo,A201
acutiúsculo,A201
acálice,A301
acárpico,A201
acáulico,A201
acéfalo,A201
acético,A201
acíclico,A201
acídulo,A201
acósmico,A201
acôndilo,A201
acústico,A201
adamantinense,A301
adamantino,A201
adamascado,A201
adaptado,A201
adaptador,A218
adaptativo,A201
adaptável,A308
adaxial,A308
adelgaçado,A201
adelofíceo,A201
adenopático,A201
adenófilo,A201
adenóforo,A201
adenóide,A301
adequado,A201
adequável,A308
aderente,A301
adereçável,A308
adernável,A308
adesista,A301
adesivo,A201
adestrado,A201
adestro,A201
adestrável,A308
adiabático,A201
adiantado,A201S03
adiantável,A308
adicionado,A201
adicionador,A218
adicional,A308
adicionável,A308
adicto,A201
adido,A201
adimensional,A308
adimplente,A301
adinimonodáceo,A201
adiposo,A201
aditivo,A201
adivinhador,A218
adivinhante,A301
adiáfano,A201
adiável,A308
adjacente,A301
adjetival,A308
adjetivo,A201
adjetivável,A308
adjeto,A201
adjudicado,A201
adjudicatário,A201
adjudicatório,A201
adjunto,A201
adjutório,A201
adjuvante,A301
administrador,A218
administrante,A301
administrativo,A201
administrável,A308
admirado,A201S03
admirador,A218
admirando,A201
admirativo,A201
admirável,A308S23
admissível,A308
admitido,A201
admoestador,A218
admoestatório,A201
admonitório,A201
adnato,A201
adnominal,A308
adolescente,A301
adorado,A201
adorador,A218
adoral,A308
adorativo,A201
adorbital,A308
adormecedor,A218
adormecido,A201
adormentador,A218
adormentável,A308
adornado,A201
adorável,A308
adotado,A201
adotante,A301
adotivo,A201
adotável,A308
adoxáceo,A201
adoçado,A201
adoçante,A301
adpresso,A201
adquirente,A301
adquirido,A201
adquiridor,A218
adquirível,A308
adrenal,A308
adstringente,A301
adstrito,A201
aduaneiro,A201
adubado,A201
adubável,A308
adulado,A201
adulador,A218
adulatório,A201
adulterado,A201
adulterador,A218
adulterante,A301
adulterino,A201
adulto,A201
adunco,A201
adurente,A301
adustivo,A201
adusto,A201
adustível,A308
adutor,A218
adveniente,A301
adventista,A301
adventício,A201
adverbal,A308
adverbial,A308
adversativo,A201
adversifólio,A201
adverso,A201
adversário,A201
advertido,A201
advocatício,A201
advogado,A201
adágia,A101
adâmico,A201
adônico,A201
adúltero,A201
aeriforme,A301
aerobiótico,A201
aerocêntrico,A201
aerodinâmico,A201
aeroespacial,A308
aerofotogramétrico,A201
aerofônico,A201
aeronaval,A308
aeronáutico,A201
aeroportuário,A201
aerotransportado,A201
aeroviário,A201
aerífero,A201
aeróbico,A201
aeróbio,A201
afadigado,A201
afagável,A308
afamado,A201
afanado,A201
afastado,A201
afeado,A201
afegane,A301
afegão,A203
afeito,A201
afeiçoado,A201
afeiçoável,A308
afeminado,A201
aferente,A301
aferido,A201
aferrado,A201
aferventado,A201
aferível,A308
afetado,A201
afetivo,A201
afeto,A201
afetuoso,A201
afgã,A301
afiado,A201S03
afiador,A218
afiançado,A201
afiançável,A308
aficionado,A201
afigurativo,A201
afigurável,A308
afilo,A201
afim,A307
afinado,A201S03
afincado,A201
afirmativo,A201
afirmável,A308
afixo,A201
afligido,A201
aflitivo,A201
aflito,A201S03
afluente,A301
afofado,A201
afogadense,A301
afogadiço,A201
afogado,A201
afogador,A218
